Từng cặp một	一一对
Hơn 10 nghìn trường hợp	万余例
Hơn 10.000 nhân dân tệ	万余元
Hơn 10 nghìn người	万余名
Hơn 10 nghìn	万余处
Hơn 10 nghìn hộ	万余家
Hơn 10 nghìn tờ	万余张
Hơn 10 nghìn căn	万余所
Hơn 10 nghìn lần	万余次
Chùa Vạn Phúc	万佛寺
10 nghìn tỷ gram;	万兆克
10 nghìn tỷ lít	万兆升
Mười nghìn năm ánh sáng	万光年
Tám ngàn.	万八千
Triệu kg.	万公斤
Triệu cây số.	万公里
Triệu ha.	万公顷
Triệu rand.	万兰特
Vanzvo	万兹沃
Một phần mười nghìn	万分之
Mười nghìn phút	万分钟
Vanchev	万切夫
Wanlis	万利斯
Vạn Lý Trường Thành	万利昂
Vangalen	万加伦
Vanus.	万努斯
Triệu kg.	万千克
Triệu kilowatt.	万千瓦
10 nghìn lít cung cấp	万升供
10 nghìn lít dầu	万升油
10 nghìn lít thép	万升钢
Thành phố Huambo	万博市
Tỉnh Huambo	万博省
Hồ Văn Ca	万卡湖
Huancayo	万卡约
Mười nghìn trang in	万印页
Vạn Lý Trường Thành	万吉向
Wanji đã có mặt tại	万吉在
Vangina	万吉纳
Wanji cho biết	万吉说
Wan Jiru	万吉鲁
Khớp nối vạn năng	万向节
Loại 10 nghìn tấn.	万吨级
Vanhanen	万哈宁
Vạn sự cố điện thoại	万固话
Palais des Nations	万国宫
Halloween	万圣节
Một triệu bảng Ai Cập	万埃镑
Wantawei	万塔威
Thành phố Vạn Tháp	万塔市
Văn Thạch	万塔赫
Vancedi	万塞地
Triệu đồng tiền Síp.	万塞币
Đồng bảng Anh	万塞镑
Hơn 10 nghìn	万多个
Hơn 10 nghìn chiếc	万多件
Hơn 10 nghìn bản	万多份
Hơn 10 nghìn trường hợp	万多例
Hơn 10 nghìn lần	万多倍
Triệu nhân dân tệ.	万多元
Hơn 10 nghìn bản.	万多册
Hơn 10 nghìn con	万多只
Hơn 10 nghìn đơn vị.	万多台
Hơn 10 nghìn	万多名
Hơn 10 nghìn tấn.	万多吨
Hơn 10 ngàn đô.	万多块
Hơn 10 nghìn địa điểm	万多处
Hơn 10 nghìn doanh nghiệp	万多家
Hơn 10 nghìn chỗ ngồi.	万多座
Hơn 10 nghìn tờ	万多张
Hơn 10 nghìn hộ dân	万多户
Hơn 10 nghìn căn	万多所
Hơn 10 nghìn bài	万多条
Hơn 10 nghìn đồng.	万多枚
Hơn 10 nghìn chiếc	万多架
Hơn 10 nghìn cây	万多株
Hơn 10 nghìn	万多种
Hơn 10 nghìn tàu, thuyền	万多艘
Hơn 10 nghìn trường hợp	万多起
Hơn 10 nghìn xe	万多辆
Hơn 10 nghìn phòng	万多间
Hơn 10 nghìn chiếc	万多颗
Vàng Ao Khang	万奥康
Vàng Mí Pi	万姆皮
Vạn chữ Đảng	万字党
Cờ vạn chữ	万字旗
Dấu vạn chữ	万字标
Thành phố Vạn Ninh	万宁市
Marlboro	万宝路
Mansudae	万寿台
Núi Vạn Thọ	万寿山
Hoa cúc vạn thọ	万寿菊
Wanni đã tạo điều kiện thuận lợi cho	万尼为
Vanya.	万尼亚
Wanny đã viết	万尼写
Huyện Văn Châu	万州区
Khoảng 10 nghìn	万左右
Wamba cho biết	万巴说
Vàng Bru	万布鲁
Triệu tấn khô.	万干吨
Đảo Vân Canh	万干岛
Triệu bình phương.	万平方
10 nghìn năm trước.	万年前
Lịch vạn niên	万年历
Thanh niên vạn niên	万年青
Thuốc chữa bách bệnh	万应药
Triệu tiểu blog	万微博
VAN ĐỨC NAM	万德南
Tàu Wander.	万德号
Wandersen	万德森
Vàng Đức	万德裔
Wandre	万德雷
Vangold	万戈德
Vantolin	万托林
Những đợt phát hành mới của triệu	万新发
Vàng Sìn Tạ	万新谢
Triệu yên.	万日元
Triệu phi vụ.	万架次
Wanchanin	万查宁
Giấy chứng nhận triệu	万核证
Vangewa	万格瓦
Wansante	万桑特
Triệu người chết do	万死于
Bệnh Ven	万氏病
Luật Dân sự Vạn	万民法
Triệu franc.	万法郎
Vàng Tetch	万泰奇
Wanzetti	万泽蒂
Triệu hải lý.	万海里
Triệu dollar Hồng Kông	万港元
Triệu tấn ướt.	万湿吨
Người dân Vạn Úc	万澳人
Triệu đô-la Ô-xtrây-li-a.	万澳元
Thuốc chữa bách bệnh	万灵丹
Ngày của các linh hồn	万灵日
Lễ hội tất cả các linh hồn	万灵节
Thuốc chữa bách bệnh	万灵药
Wan Ruilang	万瑞朗
Vạn Thụy Lang	万瑞郎
Vanganji	万甘吉
Đồng hồ vạn năng	万用表
Triệu ao-xơ.	万盎司
Vangaichi	万盖奇
Triệu tấn thiếu hụt.	万短吨
Magneto	万磁王
Mười nghìn khối lập phương	万立方
Wanlit	万立特
Wansom	万索姆
Vansos	万索斯
Vanata	万纳塔
World Wide Web	万维网
Triệu tấn xanh.	万绿吨
Vạn Loan	万罗恩
Triệu USD.	万美元
Triệu USD.	万美金
Wan Shengliang	万胜良
Vàng Seo Lìn	万色林
Viagra	万艾可
Kính vạn hoa	万花筒
Văn Sủ	万苏姆
10 ngàn feet.	万英尺
Triệu tỷ đồng.	万英担
Triệu bảng.	万英镑
Đền Văn Mỗ	万莫寺
Wantina	万蒂纳
Mũ bảo hiểm màu xanh	万蓝盔
Hồ Vangu	万谷湖
Thành phố Viêng Chăn	万象市
Wanfedan	万费丹
Wanzant	万赞特
Vạn sự tình dục	万起性
Triệu lượt xe.	万辆次
Vạn Địa	万迪亚
Vandilla	万迪拉
Wandida	万迪达
Triệu lira.	万里拉
Hàng ngàn dặm	万里行
Dầu vàng vạn tuế	万金油
Triệu người gốc Phi.	万非裔
Văn Phi Lăng	万非郎
Triệu won.	万韩元
Triệu mark.	万马克
Nguy cơ cao từ triệu	万高危
Thành phố Vân Lưu	万鲁市
Đường Vạn Lựu	万鲁路
Wanziger	万齐格
Mẹ chồng	丈母娘
Huyện Trinity	三一区
Quận Trinity	三一县
Thánh Trinity	三一圣
Ngôi nhà ba ngôi	三一屋
Ba trong một	三一是
Sông Trinity	三一河
Hồ Trinity	三一湖
Thung lũng Trinity	三一谷
Gương Trinity	三一镜
Trị Đình Thi	三丁锡
30 nghìn.	三万个
30 nghìn người.	三万人
30.000 nhân dân tệ	三万元
30 nghìn người.	三万名
Hơn 30 nghìn	三万多
30 nghìn năm.	三万年
30 nghìn hộ gia đình	三万户
Ba ba ba ba	三三三
Ba ba vương miện	三三冠
Ba bất chấp	三不管
Ba, hai.	三两个
Sanrio	三丽鸥
Ba trong số các	三之列
Triethylamine	三乙胺
Ba hai không	三二零
Ba, năm	三五个
Ba, năm ngày	三五天
Ba, năm năm	三五年
Ba, năm lần	三五次
Thành phố Tam Á	三亚市
Ba người đàn ông trong	三人于
Ba người được đánh giá cao hơn với	三人以
Một phần cho ba người.	三人份
Ba người sẽ	三人会
Ba người ở	三人住
Ba người lao vào	三人冲
Ba người chia nhau	三人分
Hệ thống ba người	三人制
Ba người cộng với	三人加
Ba người và	三人及
Ba người bị	三人受
Sự kết hợp của bộ ba	三人合
Sau ba người	三人后
Nhóm ba người	三人团
Ngoài ba người	三人外
Phiên tòa xét xử ba người	三人审
Ba người mang	三人带
Giường ba người	三人床
Ba người lái xe	三人开
Tình yêu của ba người	三人恋
Phòng ba người	三人房
Theo ba	三人据
Khi ba người	三人时
Ba người đến	三人来
Hạt nhân ba người	三人核
Bàn ba người	三人桌
Ghế ba người	三人椅
Du lịch ba người	三人游
Ba người sử dụng	三人用
Bộ ba	三人系
Đường dây ba người	三人线
Bộ ba	三人组
Ba người có thể	三人能
Múa tam tấu	三人舞
Hàng ba người	三人行
Ba người muốn	三人要
Cuộc đua ba người	三人赛
Phòng ba người	三人间
Đội hình ba người	三人队
300 triệu người.	三亿人
Ba thế hệ	三代人
Bộ đồ ba mảnh	三件套
Những ngày tháng ba vù vù	三伏天
Ba chữ số	三位数
Sức mạnh của ba cơ thể	三体势
Khối tam quan	三体团
Thể tam nhiễm	三体样
Thể tam bội	三倍体
Khu vực Tam Nguyên	三元区
Bộ ba	三元组
Sanyuanli	三元里
Ba gam không	三克未
Hệ thống ba bên	三党制
Dòng 38	三八线
Ngày mồng tám tháng ba.	三八节
Ba tải trọng bên trong	三内载
Quân đoàn 3	三军团
Cuộc đua giành cú ăn ba	三冠赛
Phương pháp ba đòn	三击法
Ba điểm ba	三分三
Quy luật ba điểm	三分法
Vua ba điểm	三分王
Ba điểm	三分球
Ba phút nữa.	三分钟
Chilo ức chế	三化螟
Ba mươi mốt	三十一
Ba mươi bảy	三十七
300 nghìn.	三十万
Ba mươi ba	三十三
Ba mươi.	三十个
Ba mươi chín	三十九
Ba mươi hai	三十二
Ba mươi lăm	三十五
Ba mươi người	三十位
Hơn ba mươi	三十余
Ba mươi lần	三十倍
Ba mươi nhân dân tệ	三十元
Ba mươi tám	三十八
Ba mươi sáu	三十六
Ba mươi điểm	三十分
Ba mươi tập	三十卷
Ba mươi con	三十只
Ba mươi người	三十名
Ba mươi bốn	三十四
30 đô.	三十块
Hơn ba mươi	三十多
Đại hội đại biểu toàn quốc lần thứ 30	三十大
Ba mươi ngày	三十天
Ba mươi tuổi	三十岁
Ba mươi năm	三十年
30 độ.	三十度
Ba mươi tờ	三十张
30 ngày.	三十日
Ba mươi điều	三十条
Ba mươi lần	三十次
Ba mươi mẫu	三十款
Ba mươi loại	三十种
30 giây.	三十秒
Ba mươi mét.	三十米
Ba mươi chiếc	三十辆
30 triệu đồng.	三千万
Ba nghìn.	三千个
Ba nghìn bản sao.	三千份
Ba nghìn nhân dân tệ	三千元
Ba nghìn người	三千名
Ba nghìn đô.	三千块
Hơn ba nghìn	三千多
Ba nghìn năm	三千年
Ba nghìn mét.	三千米
Ba ngàn dặm	三千里
Ba cm	三厘米
Quận Sanyuan	三原县
Ba màu cơ bản	三原色
Cây đinh ba	三叉戟
Trias	三叠系
Kỷ Trias	三叠纪
Ba câu đối	三句话
Ba bàn tay	三只手
Giai đoạn ba lá	三叶期
Cỏ ba lá	三叶草
Trilobite	三叶虫
3 trong 1	三合一
Hội Tam Hoàng	三合会
Gương ba chiều	三向镜
Ba tuổi	三周岁
Kỷ niệm ba năm	三周年
Ba và Ben	三和本
Bản Tri Hòa	三和村
Ba tổng bàn	三和表
Ba và Long	三和长
Đảo Three Mile	三哩岛
Triazolam	三唑仑
Triadimefon	三唑酮
Nhóm ba viên nang	三囊组
Tricystis	三囊藻
Ba, bốn vạn.	三四万
Ba, bốn	三四个
Ba, bốn thế hệ	三四代
Ba, bốn vị trí	三四位
Ba, bốn lần	三四倍
Ba, bốn điểm	三四分
Ba mươi, bốn mươi	三四十
Ba, bốn nghìn	三四千
Ba, bốn miệng	三四口
Ba, bốn	三四只
Ba, bốn	三四名
Ba, bốn mặt hàng	三四品
Ba bốn âm thanh	三四声
Ba, bốn ngày	三四天
Ba, bốn nhà	三四家
Ba, bốn lá thư	三四封
Ba, bốn tầng.	三四层
Ba, bốn tuổi	三四岁
Ba, bốn năm	三四年
Ba, bốn mươi phần trăm	三四成
Ba, bốn bài	三四条
Ba, bốn gốc	三四根
Ba, bốn lần	三四次
Ba, bốn bước	三四步
Ba, bốn điểm	三四点
Ba, bốn trăm	三四百
Ba, bốn loại	三四种
Ba, bốn giây.	三四秒
Ba, bốn bài	三四篇
Ba, bốn mét.	三四米
Ba, bốn chiếc	三四辆
Ba, bốn lần	三四遍
Ba bốn con đường	三四道
Thành phố Misaka	三坂市
Misaka đến	三坂至
Người chơi thứ ba	三垒手
Đường cơ sở thứ ba	三垒线
Ba bên lớn	三大党
Ba khối lớn	三大块
Trong ba ngày	三大天
Ba cái mới	三大新
Ba chiếc cúp	三大杯
Ba lần	三大次
Ba nhóm chính	三大类
Ba nhóm lớn nhất	三大组
Ba thứ tiếng lớn	三大语
Ba dặm lớn	三大里
Thành phố Mikoshi	三好市
Trispora	三孢霉
Quý III	三季度
Huyện Tri Ninh;	三宁区
Tuyến Sanning	三宁线
Ba lần trúng đích	三安打
Zamboanga	三宝颜
Hệ thống ba xét xử	三审制
Ba cửa hàng	三家店
Làng Tam Gia	三家村
Ba cơ thể	三小体
Ba mảnh nhỏ	三小块
Ba đoạn ngắn	三小段
Ba hạng mục phụ	三小类
Ba bữa cơm nhỏ	三小顿
Cây linh sam ba đầu	三尖杉
Van ba lá	三尖瓣
3 tầng.	三层楼
Căn phòng 3 phòng ngủ	三居室
Khi mới ba tuổi,	三岁时
Ba Chakou	三岔口
Quận Ba Châu	三州区
Samba Chuan	三巴川
Hệ thống ba năm	三年制
Thời hạn ba năm	三年期
Sinh ba năm	三年生
Lớp ba	三年级
Ba nên làm	三应作
Đàn ba dây	三弦琴
Trioxane	三恶烷
Ba trường hợp cho	三所为
Ba danh sách	三所列
Ba nguyên nhân	三所因
Ba ngôi nhà lớn	三所大
Ba quyết định	三所定
Ba trường hợp mới	三所新
Ba cơ sở	三所设
Ba trong số các	三所载
Bánh mì	三文治
Cá hồi	三文鱼
Vào lúc 3 giờ	三时许
Thành phố Sanming	三明市
Bánh mì kẹp	三明治
Trong ba tuần	三星期
3 sao	三星级
Đội hình 3 sao	三星队
Giữa tháng 3	三月中
Tháng 3	三月份
Đầu tháng 3	三月初
Cuối tháng 3	三月底
Ba cốc nước	三杯水
Bóng bán dẫn	三极管
Tam bảo	三柏忌
Nhóm ba hàng rào	三栅组
Kim tự tháp tam giác	三棱锥
Lăng kính	三棱镜
Ba cây	三棵树
Sức mạnh thứ ba	三次方
Bước ba bước	三步走
Ba giai đoạn	三段式
Chủ nghĩa âm tiết	三段论
Ba đến hai	三比二
Các điểm của ba	三氏斑
Trifluoroazole	三氟唑
Trifluorochlorine	三氟氯
Trifluoromethyl	三氟甲
Trifluor	三氟菌
Axit trifluoric	三氟酸
Thế hệ trioxy	三氧代
Triazole	三氮唑
Triazazine	三氮嗪
Triazar	三氮杂
Triazene	三氮烯
Thành phố Sầm Hà;	三河市
Làng Sam Wa	三洼村
Ba hải lý	三海里
Tribrom hóa	三溴化
Tribromoammonium	三溴铵
Quận Mihama	三滨区
Miose là	三濑是
Sông Mirase	三濑河
Công thức ba điểm	三点式
Vào lúc 3 giờ.	三点钟
Trienol	三烯诺
Hệ thống tam nông	三熟制
Ba ca làm việc	三班倒
Ba ca làm việc	三班制
Số bàn thắng ba	三球数
Sanyouben	三由本
Trimetylamin	三甲胺
Cỏ ba lá trắng	三白草
Ba triệu đồng.	三百万
Ba trăm người.	三百个
Ba trăm nhân dân tệ	三百元
Ba trăm người.	三百名
Hơn ba trăm	三百多
Ba trăm năm	三百年
Ba trăm loài	三百种
300 mét.	三百米
Ba trăm dặm.	三百里
Ba cơ sở cơ bản	三盐基
