Một chút thôi.	一下
Đi xe	乘坐
Hành khách	乘客
Hệ số nhân	乘数
Tận dụng cơ hội	乘机
Sản phẩm	乘积
Đi bằng xe ô tô	乘车
Ethyl	乙基
Axetylen	乙炔
Ethylene	乙烯
Etan	乙烷
Ethylamine	乙胺
Acetonitril	乙腈
Ethylbenzene	乙苯
Etyl este	乙酯
Axit axetic	乙酸
Ethanol	乙醇
Ether	乙醚
Acetaldehyde	乙醛
Chín trong số các	九个
Chín chín	九九
Chín mươi hai	九二
Chín người bị thương	九伤
Chín điểm	九分
Số chín	九号
Chín người	九名
Chín trận đấu	九场
Chín ngày	九天
Chín tuổi	九岁
Kyushu	九州
Chín năm	九年
Chín mươi phần trăm	九成
Giảm giá 10%	九折
Tháng 9	九月
Chín bài báo	九条
Tầng chín	九楼
Chín lần	九次
9 giờ.	九点
Chín chương	九章
Nine Nets	九网
Chín tập phim	九集
Người ăn xin	乞丐
Ăn xin	乞讨
Có thể	也许
Yemen	也门
Phong tục tập quán	习俗
Thói quen	习性
Thói quen	习惯
Tập võ	习武
Bài tập	习题
Nông thôn	乡下
Làng quê	乡村
Hộ vệ	乡绅
Các thị trấn, thị tứ	乡镇
Trên cuốn sách	书上
Thư từ	书信
Viết	书写
Sách và tạp chí	书刊
Cặp sách	书包
Cuốn sách	书卷
Tên sách	书名
Người bán sách	书商
Nhà sách	书屋
Hội sách	书展
Nhà sách	书店
Nghiên cứu	书房
Sách vở	书本
Giá sách	书架
Tủ sách	书柜
Bàn làm việc	书桌
Lời kêu gọi	书状
Bìa sách	书皮
Thư tịch	书目
Sách vở	书籍
Bí thư	书记
Đánh giá sách	书评
Những chiếc đinh sách	书钉
Học viện	书院
Văn bản	书面
Những trang sách	书页
Mua đi.	买下
Người mua	买主
Giá mua vào	买价
Mua vào	买入
Mua dao	买刀
Thanh toán hóa đơn	买单
Mua bán	买卖
Người mua	买家
Mua nhà	买房
Mua đứt	买断
Người mua	买方
Mua vé	买票
Mua hoa	买花
Mua thuốc chữa bệnh	买药
Mua một chiếc xe hơi	买车
Mua vào	买进
Mua rượu	买酒
Mua giày dép	买鞋
Loạn luân	乱伦
Lộn xộn	乱动
Tình trạng lộn xộn	乱局
Lộn xộn	乱搞
Chạm vào nó một cách bừa bãi	乱摸
Vụ va chạm hỗn loạn	乱撞
Lộn xộn	乱放
Lộn xộn	乱窜
Sự hỗn loạn	乱象
Chạy lung tung	乱跑
Ngành chăn nuôi bò sữa	乳业
Nhũ tương	乳剂
Nhũ hóa	乳化
Núm vú	乳头
Ngực	乳房
Khe ngực	乳沟
Chất cô đặc có thể nhũ hóa	乳油
Nhũ tương	乳液
Whey	乳清
Bò sữa	乳牛
Xương chũm	乳突
Đường lactose	乳糖
Chylose	乳糜
Mủ cao su	乳胶
Chất béo sữa	乳脂
Tuyến vú	乳腺
Kem dưỡng da	乳膏
Phô mai	乳酪
Axit lactic	乳酸
Kem dưỡng da	乳霜
Kết thúc	了结
Hiểu biết về	了解
Để đưa ra	予以
Đặt tên cho	予名
Đến cơ quan công an	予警
Đua nhau ánh sáng	争光
Cuộc đua đến ngôi vô địch	争冠
Phấn đấu cho	争取
Cuộc cãi vã	争吵
Cuộc chiến giành giật mạng sống	争命
Cạnh tranh	争夺
Tranh chấp	争执
Tranh giành nhau	争抢
Cuộc đấu tranh	争斗
Tranh giành bóng	争球
Tranh chấp	争端
Tranh cãi	争议
Tranh cãi	争论
Tranh luận	争辩
Tranh giành quyền bá chủ	争霸
Sự nghiệp	事业
Sự kiện	事件
Những trường hợp	事例
Nghỉ phép cá nhân	事假
Các vấn đề	事务
Các vấn đề	事宜
Sự thật là	事实
Bộ	事工
Tình hình	事态
Những điều	事情
Tai nạn	事故
Vấn đề là	事是
Những điều	事物
Đối tượng	事由
Sự cố	事端
Những việc làm	事迹
Các vấn đề	事项
Thế hệ thứ hai	二世
Trường Trung học cơ sở thứ hai	二中
Hai người	二人
Thế hệ thứ hai	二代
Hai điểm	二分
Hai mươi	二十
Hai đơn vị	二台
Số hai	二号
Phân ban thứ hai	二司
Căn cứ thứ hai	二垒
Hai chữ	二字
Phiên tòa thứ hai	二审
Trong hai năm	二年
Chiến tranh thế giới thứ hai	二战
Tháng 2	二月
Giai đoạn hai	二期
Hai điều khoản	二条
Tầng hai	二楼
Dichlorine	二氯
Disulfide	二硫
Bí thư thứ hai	二秘
Hạng mục thứ hai	二类
Cấp độ 2	二级
Sinh con thứ hai	二胎
đàn nhị	二胡
Bài đọc thứ hai	二读
Jiro	二郎
Diketone	二酮
Diester	二酯
Diol	二醇
Dicalcium	二钙
Disodium	二钠
Dikali	二钾
Diammonium	二铵
Hai đồng bạc	二银
Hai magiê	二镁
Trong lòng	于心
Trong nước	于水
Mất mát	亏损
Mất tiền	亏本
Sự thiếu hụt	亏空
Thâm hụt	亏绌
Trong đám mây	云中
Những đám mây	云层
Những đám mây	云彩
Những đám mây	云朵
Vân sam	云杉
Mica	云母
Mâm xôi	云莓
Skylark	云雀
Tập hợp	云集
Mây trời	云霄
Tin tưởng lẫn nhau	互信
đôi bên cùng có lợi	互利
Tương tác	互动
Giúp đỡ lẫn nhau	互助
Đâm nhau	互怼
Có đi có lại	互惠
Hoán đổi cho nhau	互换
Đánh nhau	互殴
Kết nối liên thông	互联
Bổ sung cho nhau	互补
Công nhận lẫn nhau	互认
Các chuyến thăm lẫn nhau	互访
Kết nối liên thông	互连
Năm đời vua	五世
Năm	五个
Trường Trung học cơ sở số 5.	五中
Năm năm	五五
Năm người	五人
Năm người bị thương	五伤
Năm vị trí	五位
Năm trường hợp	五例
Năm lần	五倍
Năm con dao	五刀
Năm điểm	五分
Năm mươi	五十
Số năm	五号
Năm người	五名
Năm tuần lễ	五周
Năm trận	五场
Trong năm ngày	五天
Năm tuổi	五岁
Năm chỗ ngồi.	五席
Trong năm năm	五年
Năm người đứng đầu	五强
Năm mươi phần trăm	五成
Giảm giá 50%	五折
Năm thủ đoạn	五招
Năm giờ	五时
Năm ngôi sao	五星
Năm đêm	五晚
Tháng 5	五月
Năm điều khoản	五条
Năm cốc	五杯
Tầng năm	五楼
Năm lần	五次
Năm bước	五步
Năm người chết	五死
Năm giờ	五点
Năm vành đai	五环
Năm loại	五种
Năm loại hình	五类
Phần cứng	五金
Năm natri	五钠
Năm kali	五钾
Năm câu hỏi	五问
Năm mặt hàng	五项
Dưới lòng đất	井下
Đầu giếng khoan	井口
Một vụ xả nước	井喷
Hố giếng khoan	井孔
Derrick	井架
Trong giếng nước	井里
Rào cản giếng	井障
Aden	亚丁
Aaron.	亚伦
Abel.	亚伯
Yak.	亚克
Á quân	亚军
Khu vực phụ	亚区
Các loại phụ	亚型
Châu Á-Thái Bình Dương	亚太
Yam.	亚姆
Yar	亚尔
Yani.	亚尼
Thành phố Châu Á	亚市
Adam	亚当
Yard	亚德
Yala.	亚拉
Ass.	亚斯
Sông Ya	亚河
Châu Á	亚洲
Yate.	亚特
Arthur.	亚瑟
Sulfoxide	亚砜
Phân loài	亚种
Phân họ	亚科
Các lớp phụ	亚类
Yana.	亚纳
Các phân nhóm	亚组
Phân nhóm	亚群
Imide	亚胺
Người châu Á	亚裔
Yada.	亚达
Sắt đen	亚铁
Ngân hàng châu Á	亚银
Châu Thị	亚锡
Thị trấn Ya	亚镇
Yama.	亚马
Lanh	亚麻
Cái chết của người chết	亡故
Tương tác	交互
Giao hàng	交付
Giải trình	交代
Bàn giao	交出
Việc giao hàng	交割
In ấn liên hoàn	交印
Giao nhau	交叉
Kết bạn	交友
Trả lại	交回
Đặt cọc	交存
Liên kết	交往
Những kẻ thù không đội trời chung	交恶
Tình bạn	交情
Cuộc chiến	交战
Đối đầu	交手
Trao đổi	交换
Việc bàn giao	交接
Việc giải quyết	交收
Các giao dịch	交易
Xen kẽ	交替
Việc thanh toán	交款
Hội tụ	交汇
Giao lưu	交流
Đàm phán	交涉
Trao đổi lửa	交火
Các điểm giao nhau	交点
Đường biên giới	交界
Nộp thuế	交税
đan xen	交织
Bàn giao cho	交给
Cuộc trò chuyện	交谈
Việc giao hàng	交货
Giao hàng	交运
Trả lại	交还
Giao thông vận tải	交通
Giao phối	交配
Đối đầu	交锋
Giao tiếp	交际
Giao lộ	交集
Các ngành công nghiệp	产业
Lứa đẻ	产仔
Thời gian nghỉ thai sản	产假
Sinh con	产儿
Sản lượng	产出
Khu vực sản xuất	产区
đẻ trứng	产卵
Sau khi sinh	产后
Các sản phẩm	产品
Nguồn gốc xuất xứ	产地
Sản xuất sữa	产奶
Các bà mẹ	产妇
Nữ hộ sinh	产婆
Sinh con	产子
Phòng sinh	产房
Quyền tài sản	产权
Sản phẩm	产物
Sản xuất	产生
Năng lực sản xuất	产能
Sản lượng	产量
Nhà hộ sinh	产院
Henry	亨利
Henman.	亨曼
Henson	亨森
Thợ săn	亨特
Henshaw	亨肖
Hen She	亨舍
Niềm vui	享乐
được hưởng thụ	享受
Được hưởng thụ	享有
Được hưởng thụ	享用
Kyoto	京都
Các gian hàng	亭子
Ánh sáng rực rỡ	亮光
Độ sáng	亮度
Ánh sáng rực rỡ	亮灯
Những điểm sáng	亮点
Sequins	亮片
Sự xuất hiện của	亮相
Mắt sáng	亮眼
Màu sắc tươi sáng	亮色
Những người thân yêu	亲人
Những người bạn thân	亲信
Những tình cảm thân thương	亲切
Người thân, bạn bè	亲友
Nụ hôn	亲吻
Sự gần gũi	亲密
Người thân thích	亲属
Tình cảm gia đình	亲情
Bà con	亲戚
Quyền của cha mẹ	亲权
Tình cảm	亲热
Hoàng tử	亲王
Gần gũi	亲近
Nói tục tĩu	亵渎
Thế giới	人世
Trong số những người	人中
Nhân sự	人事
Tất cả mọi người	人人
Người dân	人们
Sự chia sẻ của con người	人份
Người dân sẽ	人会
Cơ thể con người	人体
Chân dung người	人像
Nhân lực	人力
Người dân đi	人去
Nhân sâm	人参
Dân số	人口
Nhân sự	人员
Cuộc sống của con người	人命
Bình quân đầu người	人均
Tháp Người	人塔
Bức tường của con người	人墙
Người dân	人士
Tiếng nói của con người	人声
Người đứng đầu	人头
Giải thưởng dành cho người	人奖
Các hố ga	人孔
Người dân	人家
Cuộc sống	人寿
Nhân công lao động	人工
Người dân nên	人应
Hình bóng người	人影
Lòng người	人心
Tính nhân văn	人性
Nhân lực	人手
Tài năng	人才
Số người	人数
Nhân văn	人文
Ngày Người	人日
Khi người dân	人时
Quyền con người	人权
Tính cách cá nhân	人格
Trường hợp người	人案
Số người tham gia	人次
Người dân	人民
Mức độ phổ biến	人气
Luật Người	人法
Động của người dân	人洞
Đám đông	人潮
Người cha của con người	人父
Các nhân vật	人物
Cuộc sống	人生
Lá chắn con người	人盾
Dân tộc	人种
Nhân loại	人类
Đám đông	人群
Kết nối con người	人脉
Bộ não con người	人脑
Chân người	人脚
Mặt người	人脸
Máu người	人血
Thiết kế của người	人设
Con tin	人质
Các ứng cử viên	人选
Nhân văn	人道
Chuỗi người	人链
Thế giới con người	人间
Đội ngũ những người	人队
Xương người	人骨
Hàng trăm triệu người	亿人
100 triệu nhân dân tệ	亿元
Hàng trăm triệu bản.	亿册
Hàng trăm triệu lít.	亿升
Hàng trăm triệu tấn.	亿吨
Trăm triệu đồng.	亿圆
Hàng trăm triệu năm	亿年
Hàng trăm triệu tờ	亿张
Hàng trăm triệu đồng.	亿条
Tỷ thùng.	亿桶
Trăm triệu lần.	亿次
100 triệu đồng.	亿部
Cái gì?	什么
Incheon	仁川
Lòng nhân từ	仁慈
Dầu nhân	仁油
Bột nhân	仁粉
Chỉ nên	仅应
Người hầu	仆人
Bài ngoại	仇外
Hận thù	仇恨
Nhà cung cấp dịch vụ	仇杀
Trong tương lai,	今后
Ngày nay,	今天
Năm nay,	今年
Hôm nay	今日
Sáng nay,	今早
Đêm nay	今晚
Sáng nay,	今晨
Giữa	介于
Bước vào cuộc	介入
Meson	介子
Tâm	介意
Giới thiệu	介绍
Phương tiện truyền thông	介质
Hiện vẫn còn tồn tại	仍存
Hiện vẫn còn	仍然
Không bao giờ	从不
Việc làm	从业
Tham gia vào	从事
Mệnh đề	从句
Sự phụ thuộc	从属
Từ chính trị	从政
Chưa bao giờ	从未
Đồng phạm	从犯
Qua đó,	从而
Bảo quản	仓储
Nhà kho	仓库
Chuột đồng	仓鼠
Thành phố Tsai	仔市
Lợn con	仔猪
Gà con	仔鸡
Những người khác	他人
Chúng	他们
Nhà của ông	他家
Các bang khác	他州
Hắn giết người.	他杀
Anh ấy đến rồi.	他来
Anh ấy làm được.	他行
Với những đóng góp	付出
Việc in ấn	付印
Quyền thanh toán	付权
Việc thanh toán	付款
Thanh toán	付清
Thanh toán đường	付糖
Thanh toán hóa đơn	付账
Trả tiền cho	付费
Trả tiền cho	付钱
Xứ sở thần tiên	仙境
Nàng tiên	仙女
Nàng tiên	仙子
Mức giá	代价
Bồi thường	代偿
Cơ quan	代办
Mã số	代号
Mang thai hộ	代孕
Người phục vụ	代客
Dyer	代尔
Các mã thông báo	代币
Đại số	代数
Thay vào đó,	代替
Thế hệ	代次
Khoảng cách thế hệ	代沟
Cơ quan	代理
Mã số	代码
Thuê hộ	代租
Những cây viết ma	代笔
Các đại biểu đại diện cho	代表
Chứng thực	代言
Đại từ	代词
Chuyển hóa	代谢
Đại lý thu mua	代购
Dayton	代顿
Thay thế bữa ăn	代餐
Số lượng đơn đặt hàng	令数
Trường hợp lệnh	令案
Mã thông báo	令牌
Văn bản	令状
Trên đây	以上
Sau đây là	以下
Phía đông	以东
Để có thể	以便
Trong phạm vi	以内
Trước đây,	以前
Phía bắc	以北
Phía nam	以南
Và cũng như	以及
Sau này	以后
Với hình	以图
Bên ngoài	以外
Trên thực tế,	以实
Trong quá khứ,	以往
Với hy vọng	以期
Kể từ khi	以来
Để đạt được mục tiêu	以求
Để chắc chắn rằng	以确
Để bù đắp cho	以补
Phía tây	以西
Cụ	仪器
Buổi lễ	仪式
Đồng hồ đo	仪表
Yangon	仰光
Trọng tài	仲裁
Bộ dụng cụ	件套
Số lượng các mặt hàng	件数
Mức giá	价位
Giá trị	价值
Chênh lệch giá	价差
Giá cả	价格
Giá cả	价款
Giá cả	价钱
Bất kỳ	任何
Nhiệm vụ	任务
Việc bổ nhiệm	任命
Tùy tiện	任意
Tùy chọn	任择
Việc giảng dạy	任教
Nhiệm kỳ	任期
Hết nhiệm kỳ	任满
Việc bổ nhiệm	任用
Việc bổ nhiệm chức vụ	任职
Tùy chọn	任选
Số lượng bản sao	份数
Chia sẻ	份额
Bắt chước	仿制
Bắt chước	仿效
Thi đua	仿真
Các doanh nghiệp	企业
Trong tầm tay	企及
Nỗ lực	企图
Ổn định	企稳
Chim cánh cụt	企鹅
Ivan.	伊万
Iker.	伊克
Ilan.	伊兰
Yvonne.	伊冯
Icahn.	伊坎
Em ơi.	伊姆
Eva	伊娃
Icha.	伊察
Il	伊尔
Các bang của Iraq	伊州
Ibb.	伊布
Iver.	伊弗
Ead.	伊德
Ian.	伊恩
Ira.	伊拉
Iss.	伊斯
Iran	伊朗
Egan.	伊根
Eagle.	伊格
Ethan.	伊桑
Ethan.	伊森
Sông Nhuệ	伊河
Itt.	伊特
Iva	伊瓦
Eden.	伊登
Aesop.	伊索
Ina.	伊纳
Issa.	伊萨
Muỗi Aedes	伊蚊
Ino	伊诺
Date.	伊达
Eaton.	伊顿
Woods	伍兹
Woolley.	伍利
Gỗ	伍德
Vũ Dũng	伍登
Woody.	伍迪
Thủ đoạn	伎俩
Phục kích	伏击
Phép đo vôn	伏安
Volt	伏特
Những điềm báo trước	伏笔
Khai thác gỗ	伐木
Tạm hoãn cuộc họp	休会
Nghỉ phép	休假
Sốc	休克
Phục hồi sức khỏe	休养
Vợ ly dị	休妻
Đình chỉ học	休学
Đóng cửa thị trường	休市
Tạm hoãn phiên tòa	休庭
Nghỉ ngơi	休息
Thỏa thuận ngừng bắn	休战
Nghỉ ngơi	休整
Hughes	休斯
Hữu Sơn	休森
Nghỉ làm	休班
Ngủ đông	休眠
Bỏ hoang hóa	休耕
Hume	休谟
Ceuta	休达
Giải trí	休闲
Bảo tàng đóng cửa	休馆
Tất cả mọi người	众人
Nguồn cung ứng cộng đồng	众包
Tất cả các quốc gia	众国
Rất nhiều	众多
Gây quỹ cộng đồng	众筹
Ưu tiên hàng đầu	优先
